"codigo_estado","tp_cor_raca","total_matriculados","percentual_matriculados_estado"
"11","1","93407","28.28"
"11","2","10044","3.04"
"11","3","219424","66.44"
"11","4","2054","0.62"
"11","5","5342","1.62"
"12","1","25674","14.16"
"12","2","3159","1.74"
"12","3","140169","77.32"
"12","4","1038","0.57"
"12","5","11248","6.2"
"13","1","92123","9.22"
"13","2","10023","1.0"
"13","3","815840","81.61"
"13","4","1546","0.15"
"13","5","80101","8.01"
"14","1","17275","13.11"
"14","2","2479","1.88"
"14","3","86817","65.88"
"14","4","268","0.2"
"14","5","24946","18.93"
"15","1","173304","13.31"
"15","2","44025","3.38"
"15","3","1061456","81.53"
"15","4","4455","0.34"
"15","5","18620","1.43"
"16","1","24985","14.99"
"16","2","5853","3.51"
"16","3","129937","77.97"
"16","4","487","0.29"
"16","5","5384","3.23"
"17","1","72481","19.88"
"17","2","16176","4.44"
"17","3","265730","72.88"
"17","4","2449","0.67"
"17","5","7769","2.13"
"21","1","172015","12.27"
"21","2","42763","3.05"
"21","3","1162078","82.89"
"21","4","6552","0.47"
"21","5","18567","1.32"
"22","1","99371","15.26"
"22","2","28260","4.34"
"22","3","516972","79.38"
"22","4","5910","0.91"
"22","5","779","0.12"
"23","1","321466","18.16"
"23","2","24418","1.38"
"23","3","1409008","79.61"
"23","4","4982","0.28"
"23","5","9912","0.56"
"24","1","196302","36.53"
"24","2","16939","3.15"
"24","3","318385","59.25"
"24","4","4022","0.75"
"24","5","1705","0.32"
"25","1","189152","26.1"
"25","2","21816","3.01"
"25","3","502079","69.28"
"25","4","4592","0.63"
"25","5","7039","0.97"
"26","1","398642","27.6"
"26","2","58706","4.06"
"26","3","960703","66.52"
"26","4","6925","0.48"
"26","5","19277","1.33"
"27","1","108522","17.66"
"27","2","18316","2.98"
"27","3","480482","78.19"
"27","4","2436","0.4"
"27","5","4725","0.77"
"28","1","60708","15.94"
"28","2","16568","4.35"
"28","3","300585","78.94"
"28","4","2209","0.58"
"28","5","694","0.18"
"29","1","302180","13.6"
"29","2","290988","13.1"
"29","3","1597804","71.93"
"29","4","14779","0.67"
"29","5","15477","0.7"
"31","1","1536758","40.75"
"31","2","254240","6.74"
"31","3","1962515","52.04"
"31","4","11087","0.29"
"31","5","6454","0.17"
"32","1","277711","34.09"
"32","2","46265","5.68"
"32","3","486357","59.7"
"32","4","2290","0.28"
"32","5","2058","0.25"
"33","1","982078","42.64"
"33","2","254532","11.05"
"33","3","1056831","45.89"
"33","4","7270","0.32"
"33","5","2348","0.1"
"35","1","5568355","68.29"
"35","2","265308","3.25"
"35","3","2266038","27.79"
"35","4","41200","0.51"
"35","5","12628","0.15"
"41","1","1676540","74.99"
"41","2","37239","1.67"
"41","3","501167","22.42"
"41","4","12070","0.54"
"41","5","8782","0.39"
"42","1","1135994","85.11"
"42","2","40611","3.04"
"42","3","150974","11.31"
"42","4","2454","0.18"
"42","5","4755","0.36"
"43","1","1506891","83.53"
"43","2","99529","5.52"
"43","3","183702","10.18"
"43","4","3140","0.17"
"43","5","10732","0.59"
"50","1","301257","47.34"
"50","2","11913","1.87"
"50","3","291458","45.8"
"50","4","1983","0.31"
"50","5","29692","4.67"
"51","1","112863","35.37"
"51","2","10121","3.17"
"51","3","175503","55.0"
"51","4","1344","0.42"
"51","5","19259","6.04"
"52","1","296904","33.61"
"52","2","29776","3.37"
"52","3","548357","62.07"
"52","4","7419","0.84"
"52","5","944","0.11"
"53","1","188210","38.67"
"53","2","21643","4.45"
"53","3","273040","56.1"
"53","4","3089","0.63"
"53","5","717","0.15"
